,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2014-12-04,0.9715562188980267,1.0906855410730485,1.4129212332925607,0.9968351579981579,1.1232103618463807,0.9437728481423053,0.5637553950518811,0.5599234986161389,1.0406074989590812,0.9616949395292681
2014-12-05,0.969258914594825,1.0963670116518305,1.4145693570870186,0.988483794303197,1.1306449383740464,0.946769621084346,0.5388631099521931,0.5178027217443986,1.0526433276691185,0.9725433856712264
2014-12-08,0.9683452630126125,1.1122182427528486,1.4627235208935718,0.965361879542323,1.1359732995897198,0.9483150589257238,0.5460347959923674,0.5089074470647438,1.0373633094972807,0.971479224717146
2014-12-09,0.9681996182460957,1.105103746696183,1.4437069965020357,0.9647206960587819,1.1434988542762203,0.9488030356418252,0.5480508513308624,0.5171795092773341,1.044339118909931,0.9696181279802152
2014-12-10,0.9679880309795424,1.1068552595345331,1.426037772439069,0.9506584508311703,1.1488803626318163,0.9453538735068061,0.5661399964459055,0.528511759475691,1.0504370254980782,0.9649856628379933
2014-12-11,0.9681466137688711,1.1042485132981383,1.424543482318607,0.9488496226115505,1.1480954682268742,0.9446617711338244,0.5696405481495883,0.5337026739007441,1.047076067176589,0.9671374317435012
2014-12-12,0.9700786818601963,1.1359714554030544,1.3874652853926006,0.9607408593651182,1.1581881967498702,0.9494422873259086,0.5765804535009929,0.5434899376507906,1.038820894591101,0.9396082100782132
2014-12-15,0.9702098283993457,1.1340316400486041,1.3684953506298063,0.9682473640281122,1.1497289215511346,0.9594247272171086,0.5784568896769087,0.5258728444100953,1.0480098373917073,0.930607126153862
2014-12-16,0.9697007291962532,1.135136364492694,1.3532099036979977,0.9749718961649314,1.1376874215499986,0.9638946337024663,0.5697570228856442,0.5270948275518591,1.047522266695824,0.9369301857660455
2014-12-17,0.9683187318663703,1.1485950247285333,1.3948060368888024,0.9833659861172844,1.0789051495947046,0.959654310005364,0.5878449296216478,0.5551283464690427,1.0411052832415169,0.9359670116841279
2014-12-18,0.9701014648687066,1.1380364149445672,1.3783898872279141,0.9813751479312446,1.075874415091027,0.9730673772737888,0.591943777502256,0.5702646696350743,1.0273238498286028,0.9088056897442067
2014-12-19,0.9698151735909634,1.147292739749921,1.405797113173438,0.9776347470887558,1.0767817797275143,0.9727520892926549,0.5881797551946187,0.5643329715426254,1.0210689004368614,0.9056557875086917
2014-12-22,0.9703358544484494,1.146602029221939,1.4012047501120812,0.978234189335826,1.0790179966894522,0.9768229866110689,0.5917996777308605,0.5647439300689849,1.0144765572385324,0.9084131597656977
2014-12-23,0.9692378292121331,1.1493660054283146,1.4091626380580797,0.9742754938443484,1.0728874503239683,0.9788198943691422,0.5947202264676332,0.5675663126665671,0.9967873948178316,0.9143553657751735
2014-12-24,0.9690696837171002,1.1508215246997744,1.4060888740713713,0.9769564574493798,1.0749384151168886,0.9782495978791396,0.5960223212825478,0.5593401698185331,0.9958251895472975,0.9128173118325259
2014-12-26,0.9690415116005825,1.1512912748206807,1.4054084362625996,0.9765367692516578,1.0694787167791606,0.9792896566333334,0.5982181398606358,0.5647598920642352,0.99804076337821,0.9117058105391571
