,0
2010-08-23,-0.0001999511817347365
2010-08-24,-0.00010068413724900055
2010-08-25,0.0008726786192794216
2010-08-26,0.0006768513489979174
2010-08-27,-0.0013341372160070135
2010-08-30,-0.000525893351818265
2010-08-31,-0.0004282775873012291
2010-09-01,0.00016269862684158143
2010-09-02,1.5040919585896165e-05
2010-09-03,1.9757241636733647e-05
2010-09-07,-0.00029295292776011263
2010-09-08,0.0005984214523361581
2010-09-09,-0.0003932462631168511
2010-09-10,0.00045012025344758587
2010-09-13,-0.00022382704302860608
2010-09-14,-0.0003702547490646593
2010-09-15,0.00038907108847754815
2010-09-16,-0.00031322368792966035
2010-09-17,-0.0002865049135470269
2010-09-20,0.0009202477358843629
2010-09-21,0.0006488767599872672
2010-09-22,-0.0005811859876191251
